"model, RF, SVR, NN, LR"
"14:,  0.772407529825,    0.48180314209   , 0.56047988389  , 0.622587001461"
"15: , 0.786085835022,   0.512988915534  , 0.566740738059 , 0.709328879486"
"17: , 0.820366645638  ,  0.731433832271 , 0.677937594288 , 0.617947881291"
"18: , 0.824192219416  ,  0.745416063233 , 0.689961074794 , 0.689108253605"
"7: , 0.805345438754   , 0.222243051573  , 0.567605844843 ,  0.657505667982"
"8: , 0.808126616023   , 0.225298018304  , 0.544724664077 ,  0.671922716852"
"11: , 0.760936434401  , 0.68646205622   , 0.636688385757 , 0.619239776376"
"16: ,  0.782825758525 , 0.705480896246  , 0.689085090824 , 0.691969286895"
"9: , 0.785254802997   ,  0.74136428784  , 0.643037888809 , 0.606839745185"
"10: , 0.798449345068  , 0.750841665173  , 0.674480779443 , 0.693364778923"
"24: , 0.221058711885  , 0.203280187848  , -0.112142169547, 0.0484826990922"
"25: , 0.219677958375  , 0.205654907644  , -0.396778697791, 0.0440991460323"
